Source,Target
"Patagao, Talugay G.","Pilor, May Lyn"
"Patagao, Talugay G.","Bose, Alysa"
"Patagao, Talugay G.","Tamo, Christine"
"Patagao, Talugay G.","Buanan, Herlyn B."
"Patagao, Talugay G.","Pilarta, Mae Amalia B."
"Pilor, May Lyn","Bose, Alysa"
"Bigornia, Michael Vincent B.","Quileza, Rhea"
"Quileza, Rhea","Paderes, Nero"
"Quileza, Rhea","Bersamira, Hazel"
"Quileza, Rhea","Abalos, Michael Vene"
"Quileza, Rhea","Atmosfera, Rynheart"
"Buenafe, Cristina J.","Buenafe, John Paul B."
"Buenafe, Cristina J.","Zales, Jonathan P."
"Buenafe, John Paul B.","Zales, Jonathan P."
"Zales, Jonathan P.","Atmosfera, Rynheart P."
"Zales, Jonathan P.","Valera, Novelyn B."
"Zales, Jonathan P.","Vasquez, Reymond"
"Zales, Jonathan P.","Atmosfera, Rynheart"
"Zales, Jonathan P.","Buenafe, Glenn G."
"Zales, Jonathan P.","Alagao, Leila"
"Zales, Jonathan P.","Labios, Guillermo P. Jr."
"Quileza, Rhea A.","Paderes, Nero S."
"Quileza, Rhea A.","Atmosfera, Rynheart P."
"Quileza, Rhea A.","Cabael, Ruby Mae P."
"Quileza, Rhea A.","Cabael, Ruby May"
"Quileza, Rhea A.","Ortega, Rowena A."
"Quileza, Rhea A.","Are, Candylyn"
"Paderes, Nero S.","Atmosfera, Rynheart P."
"Paderes, Nero S.","Cabael, Ruby Mae P."
"Atmosfera, Rynheart P.","Cabael, Ruby Mae P."
"Atmosfera, Rynheart P.","Barbero, Michelle I."
"Atmosfera, Rynheart P.","Bose, Maria Digna T."
"Atmosfera, Rynheart P.","Paderes, Nero M."
"Atmosfera, Rynheart P.","Eloisan, Divinia B."
"Atmosfera, Rynheart P.","Dela Fuente, Bernie T."
"Atmosfera, Rynheart P.","Omli, Rodney D."
"Atmosfera, Rynheart P.","Elveña, Petronilo D."
"Bose, Maria Digna","Bose, Pablo B. Jr."
"Bose, Pablo B. Jr.","Paderes, Nero M."
"Bose, Pablo B. Jr.","Batoon, Guitolio Jr."
"Bose, Pablo B. Jr.","Guillen, John Paul A."
"Bose, Pablo B. Jr.","Insigne, Oliver Lance M."
"Tordil, Franxes Ghia U.","Cabael, Ruby May P."
"Tordil, Franxes Ghia U.","Tejero, Rodelyn T."
"Tordil, Franxes Ghia U.","Valdez, Donna Joy C."
"Tordil, Franxes Ghia U.","Bejarin, Ma. Lourdes Q."
"Tordil, Franxes Ghia U.","Alagao, Andyjul A."
"Tordil, Franxes Ghia U.","Rafanan, Antonio R."
"Tordil, Franxes Ghia U.","Casipit, Mark Francis F."
"Tordil, Franxes Ghia U.","Flores, Ma. Rita V."
"Cabael, Ruby May P.","Agdalpen, Mary Nizza"
"Valera, Marian Loren B.","Pasos, Leo T."
"Herida, Irene Claire P.","Cortez, Emalyn T."
"Herida, Irene Claire P.","Arconado, Patrick John L."
"Atmosfera, Verena","Buenafe, Mario"
"Vasquez, Reymond","Atmosfera, Rynheart"
"Atmosfera, Rynheart","Abalos, Michael Vene"
"Atmosfera, Rynheart","Paderes, Nero"
"Atmosfera, Rynheart","Bersamira, Hazel"
"Paderes, Nero M.","Bolante, Dulce Corazon R."
"Paderes, Nero M.",Guillen
"Paderes, Nero M.",John Paul A.
"Paderes, Nero M.","Barbero, Michelle I."
"Paderes, Nero M.","Bose, Maria Digna T."
"Paderes, Nero M.","Eloisan, Divinia B."
"Paderes, Nero M.","Dela Fuente, Bernie T."
"Paderes, Nero M.","Omli, Rodney D."
"Paderes, Nero M.","Batoon, Guitolio Jr."
"Paderes, Nero M.","Guillen, John Paul A."
"Paderes, Nero M.","Insigne, Oliver Lance M."
Guillen,John Paul A.
"Truqueza, Maria","Balingit, Kae Ann Marie"
"Labios, Guillermo P. Jr.","Pizarro, Eden"
"Labios, Guillermo P. Jr.","Buenafe, Glenn G."
"Labios, Guillermo P. Jr.","Alagao, Leila"
"Labios, Guillermo P. Jr.","Pacursa, Cristian Ivan"
"Labios, Guillermo P. Jr.","Pizarro, Maria Eden A."
"Labios, Guillermo P. Jr.","De Vera, Bernard A."
"Are, Candylyn","Villoria, Genelyn B."
"Are, Candylyn","Ortega, Rowena A."
"Bose, Maria Digna T.","Gandeza, Wilfredo M."
"Bose, Maria Digna T.","Barbero, Michelle I."
"Bose, Maria Digna T.","Eloisan, Divinia B."
"Bose, Maria Digna T.","Dela Fuente, Bernie T."
"Bose, Maria Digna T.","Omli, Rodney D."
"Barbero, Michelle I.","Eloisan, Divinia B."
"Barbero, Michelle I.","Dela Fuente, Bernie T."
"Barbero, Michelle I.","Omli, Rodney D."
"Barbero, Michelle I.","Batoon, Guitolio Jr."
"Eloisan, Divinia B.","Dela Fuente, Bernie T."
"Eloisan, Divinia B.","Omli, Rodney D."
"Eloisan, Divinia B.","Benoza, Candida Flora B."
"Eloisan, Divinia B.","Bose, Ma. Digna T."
"Dela Fuente, Bernie T.","Omli, Rodney D."
"Abalos, Michael Vene","Paderes, Nero"
"Abalos, Michael Vene","Bersamira, Hazel"
"Paderes, Nero","Bersamira, Hazel"
"Pasos, Leo T.","Atmosfera, Verena G."
"Baay, Joraidy B.","Dickson, Ramarie F."
"Baay, Joraidy B.","Licos, Artemio R. Jr."
"Baay, Joraidy B.","Vallesteros, Manuel V."
"Dickson, Ramarie F.","Licos, Artemio R. Jr."
"Dickson, Ramarie F.","Vallesteros, Manuel V."
"Licos, Artemio R. Jr.","Vallesteros, Manuel V."
"Batoon, Guitolio Jr.","Guillen, John Paul A."
"Batoon, Guitolio Jr.","Insigne, Oliver Lance M."
"Guillen, John Paul A.","Insigne, Oliver Lance M."
"Bejarin, Ma. Lourdes Q.","Agwayan, Drexel Jay F."
"Bejarin, Ma. Lourdes Q.","Peralta, Marwin B."
"Agwayan, Drexel Jay F.","Peralta, Marwin B."
"Cortez, Emalyn T.","Arconado, Patrick John L."
"Trinidad, Joyce Anne B.","Torres, Romah"
"Trinidad, Joyce Anne B.","Timbreza, Lorrea Joyce"
"Trinidad, Joyce Anne B.","Blanza, Analy"
"Trinidad, Joyce Anne B.","Reyes, Fastine May"
"Trinidad, Joyce Anne B.","Gozos, Zairohn Khaine"
"Trinidad, Joyce Anne B.","Gabay, Ahmed"
"Torres, Romah","Timbreza, Lorrea Joyce"
"Torres, Romah","Blanza, Analy"
"Torres, Romah","Reyes, Fastine May"
"Torres, Romah","Gozos, Zairohn Khaine"
"Torres, Romah","Gabay, Ahmed"
"Timbreza, Lorrea Joyce","Blanza, Analy"
"Timbreza, Lorrea Joyce","Reyes, Fastine May"
"Timbreza, Lorrea Joyce","Gozos, Zairohn Khaine"
"Timbreza, Lorrea Joyce","Gabay, Ahmed"
"Blanza, Analy","Reyes, Fastine May"
"Blanza, Analy","Gozos, Zairohn Khaine"
"Blanza, Analy","Gabay, Ahmed"
"Reyes, Fastine May","Gozos, Zairohn Khaine"
"Reyes, Fastine May","Gabay, Ahmed"
"Gozos, Zairohn Khaine","Gabay, Ahmed"
"Bides, Jestoni B.","Valencia, Jordan S."
"Abat, John Lord","Tamayo, Mark Jensen"
"Carbonilla, Eucensio B.","Alcos, Ranier Mark"
"Alagao, Andyjul A.","Rafanan, Antonio R."
"Casipit, Mark Francis F.","Flores, Ma. Rita V."
"Benoza, Candida Flora B.","Bose, Ma. Digna T."
"Buenafe, Glenn G.","Alagao, Leila"
"Pacursa, Cristian Ivan","Pizarro, Maria Eden A."
"Pacursa, Cristian Ivan","De Vera, Bernard A."
"Pizarro, Maria Eden A.","De Vera, Bernard A."
